part_number,manufacturer,phoenix_name,category,bom_description,product_url,datasheet_pdf_url,downloads_url,folder
0800886,Phoenix Contact,E/NS 35 N,End bracket,END STOP,https://www.phoenixcontact.com/en-us/products/end-block-ens-35-n-0800886,https://www.phoenixcontact.com/us/products/0800886/pdf,https://www.phoenixcontact.com/en-us/products/end-block-ens-35-n-0800886#downloads,DIN Rail & Hardware
0801733,Phoenix Contact,"NS 35/7,5 PERF 2000MM",DIN rail (perforated),NS 35/7.5 PERF 2m DIN RAIL,https://www.phoenixcontact.com/en-us/products/din-rail-ns-35-75-perf-2000mm-0801733,https://www.phoenixcontact.com/us/products/0801733/pdf,https://www.phoenixcontact.com/en-us/products/din-rail-ns-35-75-perf-2000mm-0801733#downloads,DIN Rail & Hardware
0810009,Phoenix Contact,"ZBF 10,LGS:FORTL.ZAHLEN",Zack marker strip (flat),"UK 10,3 MARKER STRIP (1-10)",https://www.phoenixcontact.com/en-us/products/labeled-terminal-marker-zbf10lgsfortlzahlen-0810009,https://www.phoenixcontact.com/us/products/0810009/pdf,https://www.phoenixcontact.com/en-us/products/labeled-terminal-marker-zbf10lgsfortlzahlen-0810009#downloads,DIN Rail & Hardware
1019943,Phoenix Contact,TMC 7 2B 20A,Miniature circuit breaker,20A CIRCUIT BREAKER,https://www.phoenixcontact.com/en-us/products/thermomagnetic-device-circuit-breaker-tmc-72b-20a-1019943,https://www.phoenixcontact.com/us/products/1019943/pdf,,Protection
1051016,Phoenix Contact,"ZB 6,LGS:FORTL.ZAHLEN",Zack marker strip,UT-4 MARKER STRIP,https://www.phoenixcontact.com/en-us/products/labeled-terminal-marker-zb-6lgsfortlzahlen-1051016,https://www.phoenixcontact.com/us/products/1051016/pdf,https://www.phoenixcontact.com/en-us/products/labeled-terminal-marker-zb-6lgsfortlzahlen-1051016#downloads,DIN Rail & Hardware
1207650,Phoenix Contact,"NS 35/7,5 PERF 500MM",DIN rail (perforated),DIN RAIL 35x7.5mm SLOTTED,https://www.phoenixcontact.com/en-us/products/din-rail-ns-35-75-perf-500mm-1207650,https://www.phoenixcontact.com/us/products/1207650/pdf,https://www.phoenixcontact.com/en-us/products/din-rail-ns-35-75-perf-500mm-1207650#downloads,DIN Rail & Hardware
192075,Eaton,FAZ-NA (order# 192075),Miniature circuit breaker,CIRCUIT BREAKER EATON FAZ-NA DIN RAIL,https://www.eaton.com/us/en-us/catalog/electrical-circuit-protection/faz-na-xeffect-miniature-circuit-breaker.html,,,Protection
2907918,Phoenix Contact,PLT-SEC-T3-120-FM-UT,Surge protection device (Type 3),SURGE PROTECTOR,https://www.phoenixcontact.com/en-us/products/device-protection-plt-sec-t3-120-fm-ut-2907918,https://www.phoenixcontact.com/us/products/2907918/pdf,https://www.phoenixcontact.com/en-us/products/device-protection-plt-sec-t3-120-fm-ut-2907918#downloads,Protection
929121,DEHN,DPA M CLE RJ45B 48,Ethernet surge arrester,DEHNPATCH RJ45 ETHERNET SURGE ARRESTER,https://www.dehn-usa.com/store/p/en-US/F32581/dehnpatch-m-cle-rj45b-48-surge-arrester-?product=P32588,,,Protection
3004430,Phoenix Contact,UK 5-MTK,Knife-disconnect terminal block,KNIFE-DISCONNECT TERMINAL 2.5MM2,https://www.phoenixcontact.com/en-pc/products/knife-disconnect-terminal-block-uk-5-mtk-3004430,https://www.phoenixcontact.com/us/products/3004430/pdf,https://www.phoenixcontact.com/en-pc/products/knife-disconnect-terminal-block-uk-5-mtk-3004430#downloads,Terminal Blocks
3009299,Phoenix Contact,EB 56-18,Insertion bridge,"UK 10,3 JUMPER BAR",https://www.phoenixcontact.com/en-us/products/insertion-bridge-eb-56-18-3009299,https://www.phoenixcontact.com/us/products/3009299/pdf,https://www.phoenixcontact.com/en-us/products/insertion-bridge-eb-56-18-3009299#downloads,DIN Rail & Hardware
3030336,Phoenix Contact,FBS 2-6,Plug-in bridge (jumper),PLUG-IN TERMINAL BRIDGE 2 POS 32A,https://www.phoenixcontact.com/en-us/products/jumper-fbs-2-6-3030336,https://www.phoenixcontact.com/us/products/3030336/pdf,https://www.phoenixcontact.com/en-us/products/jumper-fbs-2-6-3030336#downloads,DIN Rail & Hardware
3032224,Phoenix Contact,FBS 50-6,Plug-in bridge (jumper),UT-4 JUMPER BAR,https://www.phoenixcontact.com/en-us/products/jumper-fbs-50-6-3032224,https://www.phoenixcontact.com/us/products/3032224/pdf,https://www.phoenixcontact.com/en-us/products/jumper-fbs-50-6-3032224#downloads,DIN Rail & Hardware
3044102,Phoenix Contact,UT 4,Feed-through terminal block,FEED-THROUGH TERMINAL 32A GRAY,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-4-3044102,https://www.phoenixcontact.com/us/products/3044102/pdf,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-4-3044102#downloads,Terminal Blocks
3044128,Phoenix Contact,UT 4-PE,Ground terminal block,GROUND TERMINAL,https://www.phoenixcontact.com/en-us/products/ground-terminal-block-ut-4-pe-3044128,https://www.phoenixcontact.com/us/products/3044128/pdf,https://www.phoenixcontact.com/en-us/products/ground-terminal-block-ut-4-pe-3044128#downloads,Terminal Blocks
3044131,Phoenix Contact,UT 6,Feed-through terminal block,FEED-THROUGH TERMINAL 41A GRAY,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-6-3044131,https://www.phoenixcontact.com/us/products/3044131/pdf,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-6-3044131#downloads,Terminal Blocks
3045198,Phoenix Contact,UT 6 WH,Feed-through terminal block (white),FEED-THROUGH TERMINAL 41A WHITE,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-6-wh-3045198,https://www.phoenixcontact.com/us/products/3045198/pdf,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-6-wh-3045198#downloads,Terminal Blocks
3046032,Phoenix Contact,UT 4-HESI (5X20),Fuse modular terminal block,FUSED TERMINAL 5X20 6.3A BLACK,https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-ut-4-hesi-5x20-3046032,https://www.phoenixcontact.com/us/products/3046032/pdf,https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-ut-4-hesi-5x20-3046032#downloads,Fused Terminals
3046139,Phoenix Contact,UT 4-MT,Knife-disconnect terminal block,FEED-THROUGH TERMINAL BLOCK KNIFE-DISCONNECT,https://www.phoenixcontact.com/en-us/products/disconnect-terminal-block-ut-4-mt-3046139,https://www.phoenixcontact.com/us/products/3046139/pdf,https://www.phoenixcontact.com/en-us/products/disconnect-terminal-block-ut-4-mt-3046139#downloads,Terminal Blocks
3046171,Phoenix Contact,UT 4-MT-P/P,Knife-disconnect terminal block with test sockets,KNIFE-DISCONNECT TERMINAL TEST SOCKETS 4MM2,https://www.phoenixcontact.com/en-us/products/disconnect-terminal-block-ut-4-mt-pp-3046171,https://www.phoenixcontact.com/us/products/3046171/pdf,https://www.phoenixcontact.com/en-us/products/disconnect-terminal-block-ut-4-mt-pp-3046171#downloads,Terminal Blocks
3046223,Phoenix Contact,UT 4-MTD-PE,Ground terminal block (double-conductor DIN rail contact),GROUND TERMINAL DOUBLE CONDUCTOR DIN RAIL,https://www.phoenixcontact.com/en-us/products/ground-terminal-block-ut-4-mtd-pe-3046223,https://www.phoenixcontact.com/us/products/3046223/pdf,https://www.phoenixcontact.com/en-us/products/ground-terminal-block-ut-4-mtd-pe-3046223#downloads,Terminal Blocks
3046401,Phoenix Contact,"UT 6-HESI (6,3X32)",Fuse modular terminal block,FUSED TERMINAL BLOCK 6.3X32,https://www.phoenixcontact.com/en-pc/products/fuse-modular-terminal-block-ut-6-hesi-63x32-3046401,https://www.phoenixcontact.com/us/products/3046401/pdf,https://www.phoenixcontact.com/en-pc/products/fuse-modular-terminal-block-ut-6-hesi-63x32-3046401#downloads,Fused Terminals
3047028,Phoenix Contact,"D-UT 2,5/10",End cover,TERMINAL END COVER D-UT 2.5/10,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-2510-3047028,https://www.phoenixcontact.com/us/products/3047028/pdf,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-2510-3047028#downloads,DIN Rail & Hardware
3047141,Phoenix Contact,"D-UT 2,5/4-TWIN",End cover,UT-4 END COVER,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-254-twin-3047141,https://www.phoenixcontact.com/us/products/3047141/pdf,https://www.phoenixcontact.com/en-us/products/end-cover-d-ut-254-twin-3047141#downloads,DIN Rail & Hardware
3047701,Phoenix Contact,UT 4-MTD WH,Feed-through terminal block (double-conductor white),UT-4 FEED THRU WHITE,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-4-mtd-wh-3047701,https://www.phoenixcontact.com/us/products/3047701/pdf,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-ut-4-mtd-wh-3047701#downloads,Terminal Blocks
3048386,Phoenix Contact,"UK 10,3-HESI N",Fuse holder (10x38mm),"UK 10,3 FUSE HOLDER",https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-uk-103-hesi-n-3048386,https://www.phoenixcontact.com/us/products/3048386/pdf,https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-uk-103-hesi-n-3048386#downloads,Fused Terminals
3214259,Phoenix Contact,"UT 2,5-3L",Multi-level terminal block (3 levels),MULTI-LEVEL FEED-THROUGH TERMINAL BLOCK,https://www.phoenixcontact.com/en-us/products/multi-level-terminal-block-ut-25-3l-3214259,https://www.phoenixcontact.com/us/products/3214259/pdf,https://www.phoenixcontact.com/en-us/products/multi-level-terminal-block-ut-25-3l-3214259#downloads,Terminal Blocks
